地区,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26
上海,2,9,9,20,20,40,53
中国台湾,0,0,1,1,3,3,4
中国澳门,0,0,1,2,2,5,6
中国香港,0,0,1,2,5,5,8
云南,0,1,1,2,5,11,19
内蒙古,0,0,0,0,1,7,11
北京,5,10,14,26,36,54,68
吉林,0,0,0,1,4,4,6
四川,0,2,5,8,15,44,69
天津,0,2,4,5,8,13,14
宁夏,0,0,1,1,3,4,4
安徽,0,0,1,15,39,60,70
山东,0,1,2,6,21,46,63
山西,0,0,1,1,6,9,13
广东,14,26,26,53,78,111,146
广西,0,0,2,13,23,36,46
新疆,0,0,0,2,3,4,5
江苏,0,0,1,5,18,31,47
江西,0,2,2,7,18,36,48
河北,0,0,1,2,8,13,18
河南,0,1,5,5,32,83,128
浙江,0,5,10,27,62,104,128
海南,0,0,4,5,8,22,22
湖北,270,375,444,583,729,1052,1423
湖南,0,1,4,9,43,69,100
甘肃,0,0,0,2,4,7,14
福建,0,0,1,5,10,29,35
贵州,0,0,1,3,4,5,7
辽宁,0,0,2,3,12,21,22
重庆,0,5,6,9,57,75,110
陕西,0,0,0,3,5,22,22
青海,0,0,0,0,0,1,4
黑龙江,0,0,0,4,9,15,21
