Confirmed,Country/Region,Deaths,Demised,Last Update,Province/State,Recovered,Suspected
,China,,,1/21/2020,Anhui,,3.0
1.0,China,,,1/22/2020 12:00,Anhui,,4.0
9.0,Mainland China,,,1/23/20 12:00 PM,Anhui,,4.0
15.0,Mainland China,,,1/24/2020 12:00 AM,Anhui,,4.0
15.0,Mainland China,,,1/24/2020 12:00 PM,Anhui,,4.0
39.0,Mainland China,,,1/25/2020 12:00 AM,Anhui,,4.0
39.0,Mainland China,,,1/25/2020 12:00 PM,Anhui,,4.0
60.0,Mainland China,,,1/25/2020 12:00 PM,Anhui,,4.0
39.0,Mainland China,,,1/25/2020 12:00 PM,Anhui,,4.0
60.0,Mainland China,,,1/26/2020 11:00 AM,Anhui,,4.0
70.0,Mainland China,,,1/26/2020 23:00,Anhui,,
70.0,Mainland China,,,1/27/2020 19:00,Anhui,,
106.0,Mainland China,,,1/27/2020 20:30,Anhui,,
70.0,Mainland China,,,1/27/2020 9:00,Anhui,,
106.0,Mainland China,,,1/28/2020 13:00,Anhui,,
106.0,Mainland China,,,1/28/2020 18:00,Anhui,,
1.0,US,,,1/26/2020 23:00,Arizona,,
1.0,US,,,1/27/2020 19:00,Arizona,,
1.0,US,,,1/27/2020 20:30,Arizona,,
1.0,US,,,1/27/2020 9:00,Arizona,,
1.0,US,,,1/28/2020 13:00,Arizona,,
1.0,US,,,1/28/2020 18:00,Arizona,,
1.0,Germany,,,1/27/2020 20:30,Bavaria,,
1.0,Germany,,,1/28/2020 13:00,Bavaria,,
4.0,Germany,,,1/28/2020 18:00,Bavaria,,
10.0,China,,,1/21/2020,Beijing,,
14.0,China,,,1/22/2020 12:00,Beijing,,
22.0,Mainland China,,,1/23/20 12:00 PM,Beijing,,
26.0,Mainland China,,,1/24/2020 12:00 AM,Beijing,,22.0
36.0,Mainland China,,,1/24/2020 12:00 PM,Beijing,1.0,
36.0,Mainland China,,,1/25/2020 12:00 AM,Beijing,1.0,
41.0,Mainland China,,,1/25/2020 12:00 PM,Beijing,2.0,
51.0,Mainland China,,,1/25/2020 12:00 PM,Beijing,2.0,
41.0,Mainland China,,,1/25/2020 12:00 PM,Beijing,2.0,
