Date,Region,Confirmed,Suspected,Recovered,Death
2020-01-20,上海,2,,,
2020-01-21,上海,9,,,
2020-01-22,上海,9,,,
2020-01-23,上海,20,,,
2020-01-24,上海,20,,,
2020-01-25,上海,40,,,
2020-01-26,上海,53,,,
2020-01-20,中国台湾,0,,,
2020-01-21,中国台湾,0,,,
2020-01-22,中国台湾,1,,,
2020-01-23,中国台湾,1,,,
2020-01-24,中国台湾,3,,,
2020-01-25,中国台湾,3,,,
2020-01-26,中国台湾,4,,,
2020-01-20,中国澳门,0,,,
2020-01-21,中国澳门,0,,,
2020-01-22,中国澳门,1,,,
2020-01-23,中国澳门,2,,,
2020-01-24,中国澳门,2,,,
2020-01-25,中国澳门,5,,,
2020-01-26,中国澳门,6,,,
2020-01-20,中国香港,0,,,
2020-01-21,中国香港,0,,,
2020-01-22,中国香港,1,,,
2020-01-23,中国香港,2,,,
2020-01-24,中国香港,5,,,
2020-01-25,中国香港,5,,,
2020-01-26,中国香港,8,,,
2020-01-20,云南,0,,,
2020-01-21,云南,1,,,
2020-01-22,云南,1,,,
2020-01-23,云南,2,,,
2020-01-24,云南,5,,,
2020-01-25,云南,11,,,
2020-01-26,云南,19,,,
2020-01-20,内蒙古,0,,,
2020-01-21,内蒙古,0,,,
2020-01-22,内蒙古,0,,,
2020-01-23,内蒙古,0,,,
2020-01-24,内蒙古,1,,,
2020-01-25,内蒙古,7,,,
2020-01-26,内蒙古,11,,,
2020-01-20,北京,5,,,
2020-01-21,北京,10,,,
2020-01-22,北京,14,,,
2020-01-23,北京,26,,,
2020-01-24,北京,36,,,
2020-01-25,北京,54,,,
2020-01-26,北京,68,,,
2020-01-20,吉林,0,,,
2020-01-21,吉林,0,,,
2020-01-22,吉林,0,,,
2020-01-23,吉林,1,,,
2020-01-24,吉林,4,,,
2020-01-25,吉林,4,,,
2020-01-26,吉林,6,,,
2020-01-20,四川,0,,,
2020-01-21,四川,2,,,
2020-01-22,四川,5,,,
2020-01-23,四川,8,,,
2020-01-24,四川,15,,,
2020-01-25,四川,44,,,
2020-01-26,四川,69,,,
2020-01-20,天津,0,,,
2020-01-21,天津,2,,,
2020-01-22,天津,4,,,
2020-01-23,天津,5,,,
2020-01-24,天津,8,,,
2020-01-25,天津,13,,,
2020-01-26,天津,14,,,
2020-01-20,宁夏,0,,,
2020-01-21,宁夏,0,,,
2020-01-22,宁夏,1,,,
2020-01-23,宁夏,1,,,
2020-01-24,宁夏,3,,,
2020-01-25,宁夏,4,,,
2020-01-26,宁夏,4,,,
2020-01-20,安徽,0,,,
2020-01-21,安徽,0,,,
2020-01-22,安徽,1,,,
2020-01-23,安徽,15,,,
2020-01-24,安徽,39,,,
2020-01-25,安徽,60,,,
2020-01-26,安徽,70,,,
2020-01-20,山东,0,,,
2020-01-21,山东,1,,,
2020-01-22,山东,2,,,
2020-01-23,山东,6,,,
2020-01-24,山东,21,,,
2020-01-25,山东,46,,,
2020-01-26,山东,63,,,
2020-01-20,山西,0,,,
2020-01-21,山西,0,,,
2020-01-22,山西,1,,,
2020-01-23,山西,1,,,
2020-01-24,山西,6,,,
2020-01-25,山西,9,,,
2020-01-26,山西,13,,,
2020-01-20,广东,14,,,
2020-01-21,广东,26,,,
2020-01-22,广东,26,,,
2020-01-23,广东,53,,,
2020-01-24,广东,78,,,
2020-01-25,广东,111,,,
2020-01-26,广东,146,,,
2020-01-20,广西,0,,,
2020-01-21,广西,0,,,
2020-01-22,广西,2,,,
2020-01-23,广西,13,,,
2020-01-24,广西,23,,,
2020-01-25,广西,36,,,
2020-01-26,广西,46,,,
2020-01-20,新疆,0,,,
2020-01-21,新疆,0,,,
2020-01-22,新疆,0,,,
2020-01-23,新疆,2,,,
2020-01-24,新疆,3,,,
2020-01-25,新疆,4,,,
2020-01-26,新疆,5,,,
2020-01-20,江苏,0,,,
2020-01-21,江苏,0,,,
2020-01-22,江苏,1,,,
2020-01-23,江苏,5,,,
2020-01-24,江苏,18,,,
2020-01-25,江苏,31,,,
2020-01-26,江苏,47,,,
2020-01-20,江西,0,,,
2020-01-21,江西,2,,,
2020-01-22,江西,2,,,
2020-01-23,江西,7,,,
2020-01-24,江西,18,,,
2020-01-25,江西,36,,,
2020-01-26,江西,48,,,
2020-01-20,河北,0,,,
2020-01-21,河北,0,,,
2020-01-22,河北,1,,,
2020-01-23,河北,2,,,
2020-01-24,河北,8,,,
2020-01-25,河北,13,,,
2020-01-26,河北,18,,,
2020-01-20,河南,0,,,
2020-01-21,河南,1,,,
2020-01-22,河南,5,,,
2020-01-23,河南,5,,,
2020-01-24,河南,32,,,
2020-01-25,河南,83,,,
2020-01-26,河南,128,,,
2020-01-20,浙江,0,,,
2020-01-21,浙江,5,,,
2020-01-22,浙江,10,,,
2020-01-23,浙江,27,,,
2020-01-24,浙江,62,,,
