时间,地区,确诊
2020-01-20,加拿大,0
2020-01-21,加拿大,0
2020-01-22,加拿大,0
2020-01-23,加拿大,0
2020-01-24,加拿大,0
2020-01-25,加拿大,0
2020-01-26,加拿大,1
2020-01-20,尼泊尔,0
2020-01-21,尼泊尔,0
2020-01-22,尼泊尔,0
2020-01-23,尼泊尔,0
2020-01-24,尼泊尔,1
2020-01-25,尼泊尔,1
2020-01-26,尼泊尔,1
2020-01-20,新加坡,0
2020-01-21,新加坡,0
2020-01-22,新加坡,0
2020-01-23,新加坡,1
2020-01-24,新加坡,3
2020-01-25,新加坡,3
2020-01-26,新加坡,4
2020-01-20,日本,1
2020-01-21,日本,1
2020-01-22,日本,1
2020-01-23,日本,2
2020-01-24,日本,2
2020-01-25,日本,2
2020-01-26,日本,4
2020-01-20,法国,0
2020-01-21,法国,0
2020-01-22,法国,0
2020-01-23,法国,0
2020-01-24,法国,3
2020-01-25,法国,3
2020-01-26,法国,3
2020-01-20,泰国,2
2020-01-21,泰国,3
2020-01-22,泰国,3
2020-01-23,泰国,3
2020-01-24,泰国,4
2020-01-25,泰国,4
2020-01-26,泰国,8
2020-01-20,澳大利亚,0
2020-01-21,澳大利亚,0
2020-01-22,澳大利亚,0
2020-01-23,澳大利亚,0
2020-01-24,澳大利亚,1
2020-01-25,澳大利亚,1
2020-01-26,澳大利亚,4
2020-01-20,美国,0
2020-01-21,美国,0
2020-01-22,美国,1
2020-01-23,美国,1
2020-01-24,美国,2
2020-01-25,美国,2
2020-01-26,美国,5
2020-01-20,越南,0
2020-01-21,越南,0
2020-01-22,越南,0
2020-01-23,越南,2
2020-01-24,越南,2
2020-01-25,越南,2
2020-01-26,越南,2
2020-01-20,韩国,1
2020-01-21,韩国,1
2020-01-22,韩国,1
2020-01-23,韩国,1
2020-01-24,韩国,2
2020-01-25,韩国,2
2020-01-26,韩国,4
2020-01-20,马来西亚,0
2020-01-21,马来西亚,0
2020-01-22,马来西亚,0
2020-01-23,马来西亚,0
2020-01-24,马来西亚,0
2020-01-25,马来西亚,3
2020-01-26,马来西亚,3
