,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22
Aksu,,,,,,,,,,,,,,,,,,,,,,
Altay,,,,,,,,,,,,,,,,,,,,,,
Anqing,,,,,,,,,,,,,,,,,,,,,,
Anshan,,,,,,,,,,,,,,,,,,,,,,
Anshun,,,,,,,,,,,,,,,,,,,,,,
Arxan,,,,,,,,,,,,,,,,,,,,,,
Baise,,,,,,,,,,,,,,,,,,,,,,
Baishan,,,,,,,,,,,,,,,,,,,,,,
Baoshan,,,,,,,,,,,,,,,,,,,,,,
Baotou,,,,,,,,,,,,,,,,,,,,,,
Bayannur,,,,,,,,,,,,,,,,,,,,,,
Beihai,,,,,,,,,,,,,,,,,,,,,,
Beijing,,,,,,,,,,,,,,,,,,,2,3,5,
Bijie,,,,,,,,,,,,,,,,,,,,,,
Bole/Alashankou/Shuanghe,,,,,,,,,,,,,,,,,,,,,,
Changchun,,,,,,,,,,,,,,,,,,,,,,
Changde,,,,,,,,,,,,,,,,,,,,,,
Changsha,,,,,,,,,,,,,,,,,,,,,1,
Changzhi,,,,,,,,,,,,,,,,,,,,,,
Changzhou,,,,,,,,,,,,,,,,,,,,,,
Chaoyang,,,,,,,,,,,,,,,,,,,,,,
Chengdu,,,,,,,,,,,,,,,,,,,,,1,
Chifeng,,,,,,,,,,,,,,,,,,,,,,
Chongqing,,,,,,,,,,,,,,,,,,,,,5,
Dali,,,,,,,,,,,,,,,,,,,,,,
Dalian,,,,,,,,,,,,,,,,,,,,,,
Dandong,,,,,,,,,,,,,,,,,,,,,,
Daocheng,,,,,,,,,,,,,,,,,,,,,,
Daqing,,,,,,,,,,,,,,,,,,,,,,
Datong,,,,,,,,,,,,,,,,,,,,,,
Dazhou,,,,,,,,,,,,,,,,,,,,,,
Dongying,,,,,,,,,,,,,,,,,,,,,,
Dunhuang,,,,,,,,,,,,,,,,,,,,,,
Enshi,,,,,,,,,,,,,,,,,,,,,,
Erenhot,,,,,,,,,,,,,,,,,,,,,,
Foshan,,,,,,,,,,,,,,,,,,,,,,
Fuyang,,,,,,,,,,,,,,,,,,,,,,
Fuyun,,,,,,,,,,,,,,,,,,,,,,
Fuzhou,,,,,,,,,,,,,,,,,,,,,,
Ganzhou,,,,,,,,,,,,,,,,,,,,,1,
Golmud,,,,,,,,,,,,,,,,,,,,,,
Guangyuan,,,,,,,,,,,,,,,,,,,,,,
Guangzhou,,,,,,,,,,,,,,,,,,,,,,
Guilin,,,,,,,,,,,,,,,,,,,,,,
Guiyang,,,,,,,,,,,,,,,,,,,,,,
Guyuan,,,,,,,,,,,,,,,,,,,,,,
Haikou,,,,,,,,,,,,,,,,,,,,,,
"Hailar, Hulunbuir",,,,,,,,,,,,,,,,,,,,,,
Hami,,,,,,,,,,,,,,,,,,,,,,
Handan,,,,,,,,,,,,,,,,,,,,,,
Hangzhou,,,,,,,,,,,,,,,,,,,,,5,
Hanzhong,,,,,,,,,,,,,,,,,,,,,,
Harbin,,,,,,,,,,,,,,,,,,,,,,
Hefei,,,,,,,,,,,,,,,,,,,,,,
Heihe,,,,,,,,,,,,,,,,,,,,,,
Hengyang,,,,,,,,,,,,,,,,,,,,,,
Hohhot,,,,,,,,,,,,,,,,,,,,,,
Hotan,,,,,,,,,,,,,,,,,,,,,,
Huai'an,,,,,,,,,,,,,,,,,,,,,,
Huaihua,,,,,,,,,,,,,,,,,,,,,,
Huangshan,,,,,,,,,,,,,,,,,,,,,,
Huizhou,,,,,,,,,,,,,,,,,,,,1,,
Ji'an,,,,,,,,,,,,,,,,,,,,,,
Jiagedaqi,,,,,,,,,,,,,,,,,,,,,,
Jiamusi,,,,,,,,,,,,,,,,,,,,,,
