时间,地区,确诊
2020-01-26,湖北,1423
2020-01-26,广东,146
2020-01-26,浙江,128
2020-01-26,河南,128
2020-01-26,重庆,110
2020-01-26,湖南,100
2020-01-26,北京,68
2020-01-26,安徽,70
2020-01-26,山东,63
2020-01-26,四川,69
2020-01-26,上海,53
2020-01-26,广西,46
2020-01-26,江西,48
2020-01-26,福建,35
2020-01-26,江苏,47
2020-01-26,海南,22
2020-01-26,陕西,22
2020-01-26,辽宁,22
2020-01-26,黑龙江,21
2020-01-26,天津,14
2020-01-26,河北,18
2020-01-26,云南,19
2020-01-26,山西,13
2020-01-26,内蒙古,11
2020-01-26,甘肃,14
2020-01-26,贵州,7
2020-01-26,中国香港,8
2020-01-26,中国澳门,6
2020-01-26,宁夏,4
2020-01-26,吉林,6
2020-01-26,新疆,5
2020-01-26,中国台湾,4
2020-01-26,青海,4
