时间,地区,确诊
2020-01-20,湖北,270
2020-01-20,广东,14
2020-01-20,浙江,0
2020-01-20,重庆,0
2020-01-20,北京,5
2020-01-20,湖南,0
2020-01-20,上海,2
2020-01-20,山东,0
2020-01-20,安徽,0
2020-01-20,四川,0
2020-01-20,广西,0
2020-01-20,福建,0
2020-01-20,河南,0
2020-01-20,江苏,0
2020-01-20,海南,0
2020-01-20,江西,0
2020-01-20,天津,0
2020-01-20,黑龙江,0
2020-01-20,辽宁,0
2020-01-20,陕西,0
2020-01-20,贵州,0
2020-01-20,吉林,0
2020-01-20,甘肃,0
2020-01-20,河北,0
2020-01-20,新疆,0
2020-01-20,宁夏,0
2020-01-20,云南,0
2020-01-20,中国香港,0
2020-01-20,中国澳门,0
2020-01-20,山西,0
2020-01-20,内蒙古,0
2020-01-20,中国台湾,0
2020-01-20,青海,0
