Province/State,Country/Region,Last Update,Confirmed,Suspected
Shanghai,Mainland China,1/21/2020,9,10
Yunnan,Mainland China,1/21/2020,1
Beijing,Mainland China,1/21/2020,10
Taiwan,Mainland China,1/21/2020,1
Jilin,Mainland China,1/21/2020,,1
Sichuan,Mainland China,1/21/2020,2,1
Tianjin,Mainland China,1/21/2020,2
Ningxia,Mainland China,1/21/2020,,1
Anhui,Mainland China,1/21/2020,,3
Shandong,Mainland China,1/21/2020,1
Guangdong,Mainland China,1/21/2020,17,4
Guangxi,Mainland China,1/21/2020,,1
Jiangxi,Mainland China,1/21/2020,2
Henan,Mainland China,1/21/2020,1
Zhejiang,Mainland China,1/21/2020,5,16
Hainan,Mainland China,1/21/2020,,1
Hubei,Mainland China,1/21/2020,270,11
Hunan,Mainland China,1/21/2020,1
Guizhou,Mainland China,1/21/2020,,1
Liaoning,Mainland China,1/21/2020,,1
Chongqing,Mainland China,1/21/2020,5
Hong Kong,Mainland China,1/21/2020,,117
Heilongjiang,Mainland China,1/21/2020,,1
,Japan,1/21/2020,1
,Thailand,1/21/2020,2
,South Korea,1/21/2020,1
Washington,United States,1/21/2020,1
